"id","experiment_id","sample_name_abbreviation","met_id","met_name","isotopomer_formula","met_elements","met_atompositions","ratio","supplier","supplier_reference","purity","comment_"
70,"ALEWt01","OxicEvo08Ecoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
71,"ALEWt01","OxicEvo08Ecoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
72,"ALEWt01","OxicEvo09Ecoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
73,"ALEWt01","OxicEvo09Ecoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
74,"ALEsKOs01","OxicEvo04Evo01EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
75,"ALEsKOs01","OxicEvo04Evo02EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
76,"ALEsKOs01","OxicEvo04gndEvo01EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
77,"ALEsKOs01","OxicEvo04gndEvo02EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
78,"ALEsKOs01","OxicEvo04gndEvo03EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
79,"ALEsKOs01","OxicEvo04pgiEvo01EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
80,"ALEsKOs01","OxicEvo04pgiEvo02EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
81,"ALEsKOs01","OxicEvo04pgiEvo03EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
82,"ALEsKOs01","OxicEvo04pgiEvo04EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
83,"ALEsKOs01","OxicEvo04pgiEvo05EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
84,"ALEsKOs01","OxicEvo04pgiEvo06EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
85,"ALEsKOs01","OxicEvo04pgiEvo07EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
86,"ALEsKOs01","OxicEvo04pgiEvo08EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
87,"ALEsKOs01","OxicEvo04ptsHIcrrEvo01EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
88,"ALEsKOs01","OxicEvo04ptsHIcrrEvo02EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
89,"ALEsKOs01","OxicEvo04ptsHIcrrEvo03EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
90,"ALEsKOs01","OxicEvo04ptsHIcrrEvo04EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
91,"ALEsKOs01","OxicEvo04sdhCBEvo01EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
92,"ALEsKOs01","OxicEvo04sdhCBEvo02EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
93,"ALEsKOs01","OxicEvo04sdhCBEvo03EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
94,"ALEsKOs01","OxicEvo04tpiAEvo01EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
95,"ALEsKOs01","OxicEvo04tpiAEvo02EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
96,"ALEsKOs01","OxicEvo04tpiAEvo03EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
97,"ALEsKOs01","OxicEvo04tpiAEvo04EPEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
98,"ALEsKOs01","OxicEvo04ptsHIcrrEcoli13CGlc","glc_DASH_D_e","1-13C_D-Glucose","{[13C]HO,CH2O,CH2O,CH2O,CH2O,CH3O}","{C}","{1}","0.8","Cambridge Isotope Laboratories, Inc","CLM-420-PK","0.99",NULL
99,"ALEsKOs01","OxicEvo04Evo01EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
100,"ALEsKOs01","OxicEvo04Evo02EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
101,"ALEsKOs01","OxicEvo04gndEvo01EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
102,"ALEsKOs01","OxicEvo04gndEvo02EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
103,"ALEsKOs01","OxicEvo04gndEvo03EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
104,"ALEsKOs01","OxicEvo04pgiEvo01EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
105,"ALEsKOs01","OxicEvo04pgiEvo02EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
106,"ALEsKOs01","OxicEvo04pgiEvo03EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
107,"ALEsKOs01","OxicEvo04pgiEvo04EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
108,"ALEsKOs01","OxicEvo04pgiEvo05EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
109,"ALEsKOs01","OxicEvo04pgiEvo06EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
110,"ALEsKOs01","OxicEvo04pgiEvo07EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
111,"ALEsKOs01","OxicEvo04pgiEvo08EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
112,"ALEsKOs01","OxicEvo04ptsHIcrrEvo01EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
113,"ALEsKOs01","OxicEvo04ptsHIcrrEvo02EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
114,"ALEsKOs01","OxicEvo04ptsHIcrrEvo03EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
115,"ALEsKOs01","OxicEvo04ptsHIcrrEvo04EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
116,"ALEsKOs01","OxicEvo04sdhCBEvo01EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
117,"ALEsKOs01","OxicEvo04sdhCBEvo02EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
118,"ALEsKOs01","OxicEvo04sdhCBEvo03EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
119,"ALEsKOs01","OxicEvo04tpiAEvo01EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
120,"ALEsKOs01","OxicEvo04tpiAEvo02EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
121,"ALEsKOs01","OxicEvo04tpiAEvo03EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
122,"ALEsKOs01","OxicEvo04tpiAEvo04EPEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
123,"ALEsKOs01","OxicEvo04ptsHIcrrEcoli13CGlc","glc_DASH_D_e","U-13C_D-Glucose","{[13C]HO,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H2O,[13C]H3O}","{C,C,C,C,C,C}","{1,2,3,4,5,6}","0.2","Cambridge Isotope Laboratories, Inc","CLM-1396-PK ","0.99",NULL
