"id","experiment_id","sample_name_abbreviation","time_point","met_id","fragment_id","fragment_formula","intensity_normalized_average","intensity_normalized_cv","intensity_normalized_stdev","intensity_normalized_units","scan_type","met_elements","met_atompositions","used_","comment_"
5467,"ALEWt01","OxicEvo05Ecoli13CGlc","0","asp_DASH_L_c","asp_DASH_L_c_C3H6NO2_MRM","C3H6NO2-","{0.336997847845607,0.361020005577003,0.191827770731658,0.110154375845732}","{5.72241952752559,7.58489570836918,7.1120721074444,7.60808171803973}","{0.019284430652458,0.0273829909093643,0.0136429293765386,0.00838063493033991}","normSum","MRM","{C,C,C}","{1,2,3}",True,NULL
5468,"ALEWt01","OxicEvo05Ecoli13CGlc","0","asp_DASH_L_c","asp_DASH_L_c_C4H6NO4_MRM","C4H6NO4-","{0.262039281531331,0.344870073821701,0.206975410817572,0.141703634281799,0.0444115995475969}","{6.61148982426227,7.78639111330656,3.26340863296645,9.55247548628252,9.3280636150697}","{0.0173247004340139,0.0268529327805067,0.00675445342473842,0.0135362049279403,0.00414274225826985}","normSum","MRM","{C,C,C,C}","{0,1,2,3}",True,NULL
5469,"ALEWt01","OxicEvo05Ecoli13CGlc","0","atp_c","atp_c_C10H15N5O13P3_MRM","C10H15N5O13P3-","{0.0723519266795922,0.182455879841764,0.212760679618439,0.178438948873817,0.131425015824759,0.0876017053828115,0.0620548324054719,0.0426331464016061,0.0201471241537755,0.00764864177256988,0.0024820990453937}","{9.20958673282174,6.53444123188851,3.35972415562158,5.36558581873037,8.15817845784099,4.78884240343732,8.8679499140329,11.6518118506513,13.0649682004989,16.2873735277782,24.3518037554629}","{0.00666331344042463,0.0119224722423852,0.00714817194680533,0.00957429493586506,0.0107218873292296,0.00419510761350631,0.00550299145695431,0.00496753400472786,0.0026322153640058,0.00124576285530013,0.000604435888550492}","normSum","MRM","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",True,NULL
5470,"ALEWt01","OxicEvo05Ecoli13CGlc","0","dhap_c","dhap_c_C3H6O6P_MRM","C3H6O6P-","{0.368173564425321,0.410540506653464,0.0371464896920844,0.18413943922913}","{4.15380885256355,3.8584878921464,8.53228080303804,3.08504133276875}","{0.0152932261118977,0.0158406557415804,0.00316944280900022,0.00568077781014726}","normSum","MRM","{C,C,C}","{0,1,2}",True,NULL
1447,"WTEColi_optTrDesign","1-13C80_U-13C20","0","akg_c","akg_c_C5H5O5","C5H5O5-",NULL,NULL,NULL,"normSum","MRM","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5471,"ALEWt01","OxicEvo05Ecoli13CGlc","0","f6p_c","f6p_c_C6H12O9P_MRM","C6H12O9P-","{0.0277099765792946,0.502508041659749,0.0682587490192418,0.19164635301437,0.0695722613157453,0.0323198112642838,0.125049494402125}","{15.9718781343382,12.6835370447571,26.4211571879325,13.8016989002287,12.9232034671616,10.3502787920588,11.2694455728927}","{0.00442580369029859,0.0637357936167977,0.0180347513728902,0.0264504525963127,0.00899096488653912,0.0033451905709206,0.014092384710825}","normSum","MRM","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5472,"ALEWt01","OxicEvo05Ecoli13CGlc","0","fad_c","fad_c_C27H32N9O15P2_MRM","C27H32N9O15P2-","{0.00370891973417624,0.0129175189207857,0.0310777184200452,0.0604501593408396,0.0840056732623998,0.0996410896106491,0.114657261504495,0.111778829658307,0.100784019409193,0.096531795702687,0.0776033258548547,0.0582271347760885,0.0429673015123594,0.0304550989320794,0.0179435884494412,0.0130773584807228,0.00845613393462336,0.00659060940468013,0.00442902323369334,0.00317833445361783,0.00304315438990761,0.00258724071471191,0.00234692059085628,0.00181019579482609,0.00195617176489286,0.00235520487654431,0.00339433411496519,0.00402588315755823}","{14.8363070808855,16.9140283244418,13.2179023861956,8.97049029282115,8.75805114817916,4.64135069685801,5.82870699123483,3.6419678079145,4.0912644883118,15.1672140308219,9.0981470971142,7.19945689591174,16.3102452592924,8.33112488743877,16.5312984658694,9.74347130077679,14.5663620251578,13.9101215576892,27.6230817727129,20.3704297624302,26.002556406195,29.0111918608399,26.558263567939,34.9655870142378,38.0211162050834,25.6382277960345,48.7123313303154,29.4810534887659}","{0.000550266721145949,0.00218487280907682,0.0041078224846183,0.00542267567566493,0.00735725983169324,0.00462469240700078,0.0066830358172709,0.00407094899221913,0.00412334079598159,0.0146411840620223,0.00706046473852754,0.00419203746992893,0.00700807225796547,0.00253725232662457,0.00296630816206439,0.00127418867046893,0.00123175108224946,0.000916761779583503,0.00122343270957556,0.00064744038748934,0.000791297936763326,0.000750589367646838,0.000623301356249842,0.00063294558576799,0.000743758339900945,0.000603832791311743,0.00165345928053977,0.00118687276707496}","normSum","MRM","{C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}",True,NULL
5473,"ALEWt01","OxicEvo05Ecoli13CGlc","0","fdp_c","fdp_c_C6H13O12P2_MRM","C6H13O12P2-","{0.0557390934082826,0.465882783415656,0.150508460552186,0.107400941574209,0.0874747463273508,0.0173575581822909,0.115636416540025}","{3.95387781251848,2.23242828177162,2.26140054352247,1.68621223578179,3.41065220147215,10.7069502931191,5.37447737850792}","{0.00220385564716904,0.0104004990168759,0.00340359914497444,0.00181100781816916,0.00298345936134597,0.00185846512667711,0.00621485304826083}","normSum","MRM","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5474,"ALEWt01","OxicEvo05Ecoli13CGlc","0","g6p_c","g6p_c_C6H12O9P_MRM","C6H12O9P-","{0.0299106618332392,0.621601136322303,0.073521593960564,0.0641692906660463,0.045559242682317,0.0199274351681967,0.162549348666301}","{19.335313777608,9.08000016189725,28.4401307777063,28.3787038131207,23.0727716387305,20.4768623145974,5.7905872489885}","{0.00578332031841604,0.0564413841844202,0.0209096374722386,0.0182104129370978,0.010511780024426,0.0040805134622223,0.00941256185718468}","normSum","MRM","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5475,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glu_DASH_L_c","glu_DASH_L_c_C5H6NO3_MRM","C5H6NO3-","{0.150201957144371,0.274095779446489,0.293315847171393,0.19483403326725,0.0687101901899349,0.0188421927805616}","{7.63307276377329,4.15867837446047,3.5782362092785,3.15981622648776,10.1208067142878,9.13112749975787}","{0.0114650246814414,0.01139876190515,0.0104955338510388,0.00615639739789913,0.00695402554214285,0.00172050464654325}","normSum","MRM","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5476,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glu_DASH_L_c","glu_DASH_L_c_C5H8NO4_MRM","C5H8NO4-","{0.150201957144371,0.274095779446489,0.293315847171393,0.19483403326725,0.0687101901899349,0.0188421927805616}","{7.63307276377329,4.15867837446047,3.5782362092785,3.15981622648776,10.1208067142878,9.13112749975787}","{0.0114650246814414,0.01139876190515,0.0104955338510388,0.00615639739789913,0.00695402554214285,0.00172050464654325}","normSum","MRM","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5477,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glyc3p_c","glyc3p_c_C3H8O6P_MRM","C3H8O6P-","{0.358038332654411,0.422351428369421,0.0391864337963438,0.180423805179824}","{2.507420954588,3.30076585568676,8.55138345539977,4.33701569696458}","{0.00897752817843419,0.0139408317386232,0.00335098221642173,0.00782500875170976}","normSum","MRM","{C,C,C}","{0,1,2}",True,NULL
5478,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glyclt_c","glyclt_c_C2H3O3_MRM","C2H3O3-","{0.468919024527505,0.326582274623133,0.204498700849362}","{1.83200324634545,1.60418793128533,3.82518964271455}","{0.00859061175207531,0.00523899343522141,0.00782246312437561}","normSum","MRM","{C,C}","{0,1}",True,NULL
5479,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glyclt_c","glyclt_c_CH3O2_MRM","CH3O2-","{0.551711812615814,0.448288187384186}","{1.59735852633679,1.96588175366604}","{0.00881281567962596,0.00881281567962594}","normSum","MRM","{C}","{0}",True,NULL
5480,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glc_DASH_D_c","glc_DASH_D_c_C2H3O2_MRM","C2H3O2-","{0.640488557752547,0.149281492546022,0.210229949701432}","{2.42327351069794,5.84753476937889,4.25636933692772}","{0.0155207895590687,0.00872928718087639,0.00894816311613032}","normSum","MRM","{C,C}","{4,5}",True,NULL
5481,"ALEWt01","OxicEvo05Ecoli13CGlc","0","glc_DASH_D_c","glc_DASH_D_c_C6H11O6_MRM","C6H11O6-","{0.0130145775486511,0.729450942972944,0.0397753298588712,0.0110744219518486,0.00263885114765334,0.0127810189564035,0.195603050079846}","{8.81296468509924,1.4878867657582,8.43347222529076,6.14574480727838,19.1111053356124,4.95725445032912,4.50010536453042}","{0.00114697012327748,0.0108534040431928,0.00335444139616569,0.000680605712041832,0.000504313622478046,0.000633587631013721,0.00880234334982827}","normSum","MRM","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5482,"ALEWt01","OxicEvo05Ecoli13CGlc","0","icit_c","icit_c_C5H3O3_MRM","C5H3O3-","{0.158687244171931,0.296422463795516,0.257608707674545,0.182696331838756,0.082621864348203,0.02196338817105}","{4.04997723828434,4.57288900758086,3.60143855574984,4.12755216278791,5.12008692691194,3.08636046863425}","{0.0064267972690239,0.0135550702629055,0.00927761932115996,0.00754088639614475,0.00423031127526326,0.000677869330083978}","normSum","MRM","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5483,"ALEWt01","OxicEvo05Ecoli13CGlc","0","icit_c","icit_c_C6H7O7_MRM","C6H7O7-","{0.136715048282611,0.255339187406324,0.241888529217991,0.207179132559591,0.108469441705986,0.0419303303804498,0.00847833044704627}","{4.37858079591255,5.22164479833362,2.81062336739078,4.40518009726426,5.37332941452923,5.43249544451938,7.51548290204117}","{0.00598617884922497,0.0133329053973097,0.00679857552523873,0.00912661391319984,0.00582842041696338,0.00227786328778986,0.000637187475126313}","normSum","MRM","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5484,"ALEWt01","OxicEvo05Ecoli13CGlc","0","mal_DASH_L_c","mal_DASH_L_c_C4H3O4_MRM","C4H3O4-","{0.255532650821304,0.347760440479734,0.222531447811407,0.135387857708201,0.0387876031793529}","{1.27539315995796,1.68379926854877,2.88044319662539,1.62586523561763,7.95784267494146}","{0.00325904595003417,0.00585558775309974,0.00640989194883565,0.0022012241117251,0.0030866564383935}","normSum","MRM","{C,C,C,C}","{0,1,2,3}",True,NULL
1415,"WTEColi_optTrDesign","1-13C80_U-13C20","0","accoa_c","accoa_c_C10H11N5O6P","C10H11N5O6P-",NULL,NULL,NULL,"normSum","EPI","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",False,NULL
5485,"ALEWt01","OxicEvo05Ecoli13CGlc","0","mal_DASH_L_c","mal_DASH_L_c_C4H5O5_MRM","C4H5O5-","{0.255532650821304,0.347760440479734,0.222531447811407,0.135387857708201,0.0387876031793529}","{1.27539315995796,1.68379926854877,2.88044319662539,1.62586523561763,7.95784267494146}","{0.00325904595003417,0.00585558775309974,0.00640989194883565,0.0022012241117251,0.0030866564383935}","normSum","MRM","{C,C,C,C}","{0,1,2,3}",True,NULL
1482,"WTEColi_optTrDesign","1-13C80_U-13C20","0","thr_DASH_L_c","thr_DASH_L_c_C4H8NO3","C4H8NO3-",NULL,NULL,NULL,"normSum","MRM","{C,C,C,C}","{0,1,2,3}",True,NULL
5486,"ALEWt01","OxicEvo05Ecoli13CGlc","0","met_DASH_L_c","met_DASH_L_c_C5H10NO2S_MRM","C5H10NO2S-","{0.128316705993791,0.317599234941699,0.272156542137269,0.174814416678839,0.0844375705457809,0.0226755297026209}","{4.09287286392314,4.68317376853833,2.80195220449596,4.70672208852615,6.09872652990251,12.2946000130337}","{0.00525183963949991,0.0148737240598681,0.00762569623209518,0.00822802876375106,0.00514961651608069,0.00278786567777389}","normSum","MRM","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5487,"ALEWt01","OxicEvo05Ecoli13CGlc","0","met_DASH_L_c","met_DASH_L_c_CH3S_MRM","CH3S-","{0.514584309382409,0.485415690617591}","{1.29627522964944,1.37416838126928}","{0.00667042893818681,0.00667042893818685}","normSum","MRM","{C}","{4}",True,NULL
1449,"WTEColi_optTrDesign","1-13C80_U-13C20","0","asp_DASH_L_c","asp_DASH_L_c_C3H6NO2","C3H6NO2-",NULL,NULL,NULL,"normSum","MRM","{C,C,C}","{1,2,3}",True,NULL
5488,"ALEWt01","OxicEvo05Ecoli13CGlc","0","pep_c","pep_c_C3H4O6P_MRM","C3H4O6P-","{0.454073606580449,0.341634680252212,0.0342697503018403,0.170021962865498}","{2.91840312597773,2.45818247027329,12.2468646926796,5.04798331643454}","{0.0132516983286836,0.00839800382233408,0.00419696994998554,0.00858268031972487}","normSum","MRM","{C,C,C}","{0,1,2}",True,NULL
5489,"ALEWt01","OxicEvo05Ecoli13CGlc","0","phe_DASH_L_c","phe_DASH_L_c_C9H10NO2_MRM","C9H10NO2-","{0.125546623390961,0.212434406902272,0.187278605835542,0.172400751898859,0.117847164276218,0.093403000794166,0.0565821538050509,0.0198222374923521,0.023458255873962,0.00886778300279585}","{11.5951865978479,11.5111237801093,7.27795769692896,11.5838249863674,21.2869954693454,25.8281072647438,18.6511920159562,49.7332911455788,16.0244581712814,8.31963195514262}","{0.0145573652494793,0.0244535875300616,0.0136300577081091,0.0199706013751453,0.0250861205202306,0.0241242272336067,0.0105532461529437,0.00985825108363955,0.0037590584002352,0.000737766908413309}","normSum","MRM","{C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8}",True,NULL
5490,"ALEWt01","OxicEvo05Ecoli13CGlc","0","phe_DASH_L_c","phe_DASH_L_c_C9H7O2_MRM","C9H7O2-","{0.125546623390961,0.212434406902272,0.187278605835542,0.172400751898859,0.117847164276218,0.093403000794166,0.0565821538050509,0.0198222374923521,0.023458255873962,0.00886778300279585}","{11.5951865978479,11.5111237801093,7.27795769692896,11.5838249863674,21.2869954693454,25.8281072647438,18.6511920159562,49.7332911455788,16.0244581712814,8.31963195514262}","{0.0145573652494793,0.0244535875300616,0.0136300577081091,0.0199706013751453,0.0250861205202306,0.0241242272336067,0.0105532461529437,0.00985825108363955,0.0037590584002352,0.000737766908413309}","normSum","MRM","{C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8}",True,NULL
5491,"ALEWt01","OxicEvo05Ecoli13CGlc","0","phpyr_c","phpyr_c_C7H7_MRM","C7H7-","{0.12330720063871,0.282234614898083,0.241274863592323,0.144859018221989,0.0913593189090916,0.0715715152429608,0.0348801134529895,0.0105133550438535}","{5.20404701231104,1.71147940992732,3.06732868572439,2.23287966251532,2.1371609116149,0.761629123882888,4.31340364563683,9.6271447450318}","{0.00641696469080317,0.00483038732166836,0.00740069310240972,0.00323452755719815,0.00195249565284271,0.00054510950449467,0.00150452008528351,0.00101213590763088}","normSum","MRM","{C,C,C,C,C,C,C}","{2,3,4,5,6,7,8}",True,NULL
5492,"ALEWt01","OxicEvo05Ecoli13CGlc","0","phpyr_c","phpyr_c_C9H7O3_MRM","C9H7O3-","{0.113531220276659,0.221986434937005,0.193119965263922,0.163774551607211,0.130285060346816,0.0936568526173022,0.0447925462562448,0.0247860083851507,0.0100059113221915,0.00406144898749739}","{5.62757264012238,2.58726575840528,3.7673689988646,2.25957697876934,2.44105241936217,2.64785007027293,2.05007898643451,5.44913871912978,13.7107714570438,12.6615949235804}","{0.00638905189028633,0.00574337901942975,0.00727554170197108,0.00370061206519925,0.00318032661766342,0.00247989303784265,0.000918282578288232,0.001350623979842,0.00137188763358015,0.000514244218824777}","normSum","MRM","{C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8}",True,NULL
5493,"ALEWt01","OxicEvo05Ecoli13CGlc","0","3pg_c","3pg_c_C3H6O7P_MRM","C3H6O7P-","{0.437635542071223,0.349712102264307,0.0380315980343772,0.174620757630093}","{5.36771947433996,5.54105029218078,12.8008612811856,5.39605879925881}","{0.0234910482183903,0.0193777234643079,0.00486837210739874,0.00942263875743103}","normSum","MRM","{C,C,C}","{0,1,2}",True,NULL
5494,"ALEWt01","OxicEvo05Ecoli13CGlc","0","prpp_c","prpp_c_C5H12O14P3_MRM","C5H12O14P3-","{0.316436864816305,0.221118728815815,0.141273854320474,0.129364322760896,0.0666895536569687,0.125116675629541}","{5.70984659354982,12.5677516603713,26.8468137242815,5.04386178799555,13.7314919752488,10.669632861454}","{0.0180680595464496,0.0277896527121415,0.0379275285105305,0.00652495764303606,0.0091574707087359,0.0133494899381283}","normSum","MRM","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5495,"ALEWt01","OxicEvo05Ecoli13CGlc","0","pyr_c","pyr_c_C3H3O3_MRM","C3H3O3-","{0.437794641843843,0.283848248988389,0.0667984949565397,0.211558614211229}","{11.5564066252037,22.6766697120945,43.2717477084949,17.2531736861798}","{0.0505933289948287,0.0643673299066606,0.0289048762106655,0.0365005751579384}","normSum","MRM","{C,C,C}","{0,1,2}",True,NULL
5496,"ALEWt01","OxicEvo05Ecoli13CGlc","0","r5p_c","r5p_c_C5H10O8P_MRM","C5H10O8P-","{0.468667959504235,0.182784784710086,0.0975522368127276,0.174549537631163,0,0.0764454813417877}","{7.01542141432567,10.6362889889786,16.1200364513908,13.5484448699668,0,13.8645504125837}","{0.0328790323931433,0.0194415179296471,0.0157254561333588,0.0236487478767401,0,0.0105988222987744}","normSum","MRM","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5497,"ALEWt01","OxicEvo05Ecoli13CGlc","0","ru5p_DASH_D_c","ru5p_DASH_D_c_C5H10O8P_MRM","C5H10O8P-","{0.339289673398831,0.27037924105892,0.162866193873739,0.145190437468604,0,0.0822744541999055}","{12.2974694498046,8.33082656825805,20.5192861387621,16.6083061523804,0,22.8705380323852}","{0.041724043932563,0.022524825649191,0.0334189803442635,0.0241136723587662,0,0.0188166103387267}","normSum","MRM","{C,C,C,C,C}","{0,1,2,3,4}",True,NULL
5498,"ALEWt01","OxicEvo05Ecoli13CGlc","0","s7p_c","s7p_c_C7H14O10P_MRM","C7H14O10P-","{0.212393173508146,0.344343978684895,0.185050360992437,0.153115023332425,0,0.0760408276903023,0,0.0290566357917942}","{10.474958442935,5.98960878731455,11.8441659185398,2.532482473372,0,11.5908651259047,0,30.0135053684205}","{0.0222480966606091,0.020624857205899,0.0219176717888011,0.00387761112999311,0,0.00881378977820453,0,0.00872091494325255}","normSum","MRM","{C,C,C,C,C,C,C}","{0,1,2,3,4,5,6}",True,NULL
5499,"ALEWt01","OxicEvo05Ecoli13CGlc","0","skm_c","skm_c_C6H5O_MRM","C6H5O-","{0.189745924389844,0.141826937265222,0.120596296312618,0.0312270835362338,0.0167524685426203,0.0336098616612437,0.466241428292219}","{6.88773738816428,8.49568952904614,26.0312242126381,29.6987988917385,48.4450414677029,39.4284961072484,9.43363343840294}","{0.0130692009767172,0.0120491762586083,0.031392692285275,0.00927406873918126,0.00811574033233629,0.013251862996755,0.0439835072830622}","normSum","MRM","{C,C,C,C,C,C}","{1,2,3,4,5,6}",True,NULL
5500,"ALEWt01","OxicEvo05Ecoli13CGlc","0","skm_c","skm_c_C7H9O5_MRM","C7H9O5-","{0.412117527866934,0.0231187092651254,0.0649124729144776,0,0,0.0217929538151508,0.481690495107504,0}","{6.60299233763575,23.3276047944046,31.2510979233979,0,0,30.1923785385441,9.19985786810046,0}","{0.0272120887871075,0.00539304113093585,0.0202858604750025,0,0,0.00657981111060042,0.0443148409140398,0}","normSum","MRM","{C,C,C,C,C,C,C}","{0,1,2,3,4,5,6}",True,NULL
5501,"ALEWt01","OxicEvo05Ecoli13CGlc","0","succ_c","succ_c_C4H3O3_MRM","C4H3O3-","{0.208618738433432,0.316044042961746,0.30195568924854,0.142997533776902,0.0303839955793797}","{5.82076806060052,4.29403845803917,3.86556053774881,2.51815614426044,10.660746523209}","{0.012143212895161,0.0135710527491192,0.011672279965079,0.00360090118294396,0.0032391607523407}","normSum","MRM","{C,C,C,C}","{0,1,2,3}",True,NULL
5502,"ALEWt01","OxicEvo05Ecoli13CGlc","0","succ_c","succ_c_C4H5O4_MRM","C4H5O4-","{0.208618738433432,0.316044042961746,0.30195568924854,0.142997533776902,0.0303839955793797}","{5.82076806060052,4.29403845803917,3.86556053774881,2.51815614426044,10.660746523209}","{0.012143212895161,0.0135710527491192,0.011672279965079,0.00360090118294396,0.0032391607523407}","normSum","MRM","{C,C,C,C}","{0,1,2,3}",True,NULL
5503,"ALEWt01","OxicEvo05Ecoli13CGlc","0","thr_DASH_L_c","thr_DASH_L_c_C2H4NO2_MRM","C2H4NO2-","{0.561544155131097,0.255011553976199,0.183444290892704}","{6.94653818271699,10.1284265067188,8.09381835061698}","{0.0390078791489972,0.0258286578281209,0.0148476476794329}","normSum","MRM","{C,C}","{0,1}",True,NULL
1615,"WTEColi_optTrDesign","2-13C","0","pyr_c","pyr_c_C3H3O3","C3H3O3-",NULL,NULL,NULL,"normSum","MRM","{C,C,C}","{0,1,2}",True,NULL
5504,"ALEWt01","OxicEvo05Ecoli13CGlc","0","thr_DASH_L_c","thr_DASH_L_c_C4H8NO3_MRM","C4H8NO3-","{0.273249275795774,0.30346858741099,0.242666401446593,0.132349885744361,0.0482658496022816}","{11.856717264421,5.75258047750071,6.61996893163991,10.3092289947264,14.4545825849618}","{0.0323983940581829,0.0174572747147518,0.016064440383293,0.0136442527956449,0.00697662709109525}","normSum","MRM","{C,C,C,C}","{0,1,2,3}",True,NULL
1450,"WTEColi_optTrDesign","1-13C80_U-13C20","0","asp_DASH_L_c","asp_DASH_L_c_C4H6NO4","C4H6NO4-",NULL,NULL,NULL,"normSum","MRM","{C,C,C,C}","{0,1,2,3}",True,NULL
5505,"ALEWt01","OxicEvo05Ecoli13CGlc","0","ump_c","ump_c_C9H12N2O9P_MRM","C9H12N2O9P-","{0.0723032167621826,0.139750815803889,0.190827241488342,0.187305377429434,0.146616088669561,0.107953703250135,0.0735391242469275,0.056070943517003,0.0256334888325264,0}","{16.0888147109543,22.0907222975472,7.99181867614903,11.4055982502812,12.8997241801496,18.0575395855469,9.37295838724658,9.45108033259751,13.793372438073,0}","{0.0116327305749272,0.0308719646277938,0.0152505671244453,0.0213632988507741,0.0189130710420969,0.019493782698457,0.00689279151401007,0.00529930991503733,0.00353572258354222,0}","normSum","MRM","{C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8}",True,NULL
5506,"ALEWt01","OxicEvo10Ecoli13CGlc","0","6pgc_c","6pgc_c_C6H10O9P_EPI","C6H10O9P-","{0.0465617981964095,0.744629145477811,0.0905500850032395,0.044743383590019,0.0325953582329537,0.0168565205768854,0.155689799728544}","{0,6.82946182429432,7.01770260543769,13.2305670232382,2.7366519565624,8.2235116182205,4.00863827094387}","{0,0.0508541632229761,0.00635453567449838,0.00591980335434203,0.000892021508830651,0.0013861979280679,0.00624104089587428}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5507,"ALEWt01","OxicEvo10Ecoli13CGlc","0","6pgc_c","6pgc_c_C6H12O10P_EPI","C6H12O10P-","{0.044915044463801,0.716323787119052,0.0871310173251643,0.0450758968005868,0.035727909453797,0.0170465531187868,0.111399154082954}","{13.1105019840996,7.64256321027731,8.15933166671734,9.97437969231663,14.9939476165576,7.41622596780258,57.5740542845001}","{0.00588858779558585,0.0547454982208258,0.0071093086881451,0.00449604109660733,0.00535702402799345,0.00126421089901073,0.0641370094441938}","normSum","EPI","{C,C,C,C,C,C}","{0,1,2,3,4,5}",True,NULL
5508,"ALEWt01","OxicEvo10Ecoli13CGlc","0","accoa_c","accoa_c_C10H12N5O9P2_EPI","C10H12N5O9P2-","{0.0448705828247697,0.17656242497895,0.228327630131939,0.196639611973383,0.169330798425086,0.0856348794367731,0.0616168263880085,0.0325463351971718,0.00745151773986692,0,0}","{28.1612513359827,12.7045288810158,9.62635599725787,3.37396199479132,4.5326326900859,28.5863227754793,26.7265802884043,28.1484297692281,50.4854798693716,0,0}","{0.0126361176052037,0.0224314242744726,0.0219796305166027,0.00663454577468706,0.00767514312379891,0.0244798630441885,0.0164680705757578,0.00916128230543347,0.00376193448852317,0,0}","normSum","EPI","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",True,NULL
5509,"ALEWt01","OxicEvo10Ecoli13CGlc","0","accoa_c","accoa_c_C10H14N5O10P2_EPI","C10H14N5O10P2-","{0.0383735153182698,0.164730780476821,0.235101844763141,0.223724603339477,0.137305846957609,0.0928354559560356,0.0722937431307368,0.0340337365302871,0.0153252886119864,0.0113855269444247,0}","{40.3937914123939,24.1573198337474,13.5676717860509,10.3018336003553,18.4355703143406,38.8960158976514,21.7319467436384,44.4326045649406,51.4308072223344,0,0}","{0.0155005177352649,0.039794541504414,0.0318978466604139,0.0230477363590879,0.0253131159615709,0.0361092937073168,0.0157108377561545,0.0151220755711762,0.00788191964229709,0,0}","normSum","EPI","{C,C,C,C,C,C,C,C,C,C}","{0,1,2,3,4,5,6,7,8,9}",True,NULL
5510,"ALEWt01","OxicEvo10Ecoli13CGlc","0","accoa_c","accoa_c_C13H23N2O10P2S_EPI","C13H23N2O10P2S-","{0,0.0129313792316483,0.0658163525067673,0.152755161282882,0.236070937273799,0.215040707677833,0.153330249753033,0.113456972761835,0.0546969008109341,0.026779418988655,0.0102263388623535,0.00493193726871554,0,0}","{0,39.7954215054961,26.1852301889459,18.0027848843588,18.6622388150232,11.8162202332486,15.0821380893719,35.3628901757661,20.9996538051146,28.307248307963,35.9951232265307,27.5559052430382,0,0}","{0,0.00514609687170862,0.0172341634058651,0.0275001830855126,0.0440561220869,0.0254096836103491,0.0231254800005313,0.0401216646745166,0.0114861598124231,0.00758051662854837,0.00368098327506674,0.00135903996041334,0,0}","normSum","EPI","{C,C,C,C,C,C,C,C,C,C,C,C,C}","{10,11,12,13,14,15,16,17,18,19,20,21,22}",True,NULL
5511,"ALEWt01","OxicEvo10Ecoli13CGlc","0","acon_DASH_C_c","acon_DASH_C_c_C4H3O4_EPI","C4H3O4-","{0.542763684848357,0.336888081788701,0.108397229687596,0.0175871763807158,0.00135731652921487}","{6.02051030029242,4.20962064266979,17.6075825799019,84.646989212853,0}","{0.032677143552542,0.0141817102336714,0.0190861317315694,0.0148870152938299,0}","normSum","EPI","{C,C,C,C}","{2,3,4,5}",True,NULL
